question,option1,option2,option3,option4,option5,answer,explanation,domain
"会社はAmazon S3に数年分の医療記録を保存しています。コンプライアンス要件により、データは作成から1年後にアーカイブされ、7年間保存される必要があります。アーカイブされたデータへのアクセスはごくまれであり、取り出しに12時間かかっても問題ありません。ストレージコストを最小化するサービスはどれですか？","S3 Standard-IA","S3 Glacier Flexible Retrieval","S3 Glacier Deep Archive","AWS Storage Gateway",,"3","S3 Glacier Deep Archiveは、取り出しに数時間（最大12時間）かかっても許容される、長期的なデータ保持とデジタル保存のためのS3ストレージクラスであり、最も安価なストレージ料金を提供します。",4
"開発チームは、営業時間（月〜金の午前9時〜午後6時）のみ、検証環境のEC2インスタンスとRDSインスタンスを使用します。それ以外の時間帯はインスタンスを停止し、不要なコストを削減したいと考えています。これを自動化する最も推奨される方法はどれですか？","スポットインスタンスを使用し、夜間にAWS側で中断されるのを待つ。","AWS Instance Scheduler (またはEventBridge + Lambda) を設定し、スケジュールに基づいてインスタンスを自動的に停止・起動する。","Auto Scalingの最小容量を常に0に設定する。","週末に手動でスナップショットを取得し、インスタンスを削除する。",,"2","AWS Instance Scheduler（現在は多くの場合EventBridge SchedulerとLambdaで実装）を利用して、営業時間外にリソースを自動停止・起動させることで、EC2とRDSのコストを確実に大幅削減できます。",4
"Amazon EC2インスタンス、AWS Fargate、AWS Lambdaを利用して、複数の異なるワークロードを実行しています。今後1年間または3年間のコンピューティング使用量をコミット（1時間あたりのドル額）することで、これらすべてのサービスにまたがって柔軟に割引を適用したいと考えています。どの料金モデルを選択すべきですか？","EC2 スタンダードリザーブドインスタンス","EC2 コンバーティブルリザーブドインスタンス","Compute Savings Plans","EC2 スポットインスタンス",,"3","Compute Savings Plansは最も柔軟な料金モデルであり、インスタンスファミリー、サイズ、OS、リージョンに関係なく、EC2、Fargate、Lambda全体の利用額に対して一括で割引が適用されます。",4
"あるスタートアップ企業がAmazon DynamoDBを使用して新しいアプリケーションを立ち上げています。トラフィックがどの程度になるか全く予測ができず、アクセスがない時間帯もあると想定されます。無駄なプロビジョニングコストを避けるために、どのキャパシティモードを選択すべきですか？","プロビジョンドキャパシティモード","プロビジョンドキャパシティ (Auto Scaling有効)","オンデマンドキャパシティモード","リザーブドキャパシティ",,"3","DynamoDBのオンデマンドキャパシティモードは、キャパシティ計画が不要で、アプリケーションが実行した読み取りおよび書き込みリクエストに対してのみ課金されるため、予測不可能なワークロードに最適です。",4
"機械学習モデルのトレーニングのために、数千台のAmazon EC2インスタンスが必要です。このジョブはいつでも中断・再開できる柔軟性（フォールトトレラント）を持っています。コンピューティングコストを最大90%削減できる購入オプションはどれですか？","オンデマンドインスタンス","スタンダードリザーブドインスタンス","スポットインスタンス","Dedicated Hosts",,"3","スポットインスタンスは、AWS内の空きキャパシティを利用することで大幅な割引を提供します。AWSが必要とした際に中断される可能性がありますが、バッチ処理や機械学習など中断を許容できるワークロードに最適です。",4
"企業は複数のAWSアカウントを所有しており、それぞれのアカウントが個別に請求されています。会社全体でのストレージ使用量などを合算し、S3の階層型料金などのボリュームディスカウントを最大限に活用して全体のコストを下げるには、どのサービスを使用すべきですか？","AWS Cost Explorer","AWS Budgets","AWS Organizations (一括請求 / Consolidated Billing)","AWS Cost and Usage Report",,"3","AWS Organizationsの「一括請求（Consolidated Billing）」機能を使用すると、複数アカウントの請求を1つにまとめ、すべてのアカウントの合算使用量に基づいてボリュームディスカウントが適用されるためコストが下がります。",4
"アプリケーションがAmazon S3とAmazon DynamoDBに対して大量のデータの読み書きを行っています。アプリケーションはプライベートサブネット内のEC2で稼働しており、NATゲートウェイ経由で通信しているため、データ転送料金とNATゲートウェイの処理料金が高騰しています。コストを下げる方法はどれですか？","EC2インスタンスをパブリックサブネットに移動し、Elastic IPを割り当てる。","S3とDynamoDB用のゲートウェイVPCエンドポイントを作成し、プライベートサブネットのルートテーブルを更新する。","AWS Direct Connectを導入する。","NATゲートウェイをNATインスタンスに置き換える。",,"2","S3とDynamoDB向けの「ゲートウェイ VPCエンドポイント」は追加料金なしで利用でき、NATゲートウェイを経由せずにAWS内のプライベートネットワークで直接通信するため、NATのデータ処理料金を完全に排除できます。",4
"Amazon S3に数百万のオブジェクトを保存していますが、アクセスパターンが予測不可能です。一部のデータは毎日アクセスされますが、他のデータは数ヶ月アクセスされません。手動でストレージクラスを移動するオーバーヘッドをかけずに、自動的にコストを最適化するストレージクラスはどれですか？","S3 Standard","S3 Intelligent-Tiering","S3 Standard-IA","S3 Glacier Instant Retrieval",,"2","S3 Intelligent-Tieringは、オブジェクトのアクセスパターンを継続的に監視し、30日間アクセスがないデータを自動的に低コストのアクセス階層に移動させるため、予測不可能なデータのコスト最適化に最適です。",4
"毎月のAWSの利用料金が、設定した予算（例：月額1,000ドル）の80%を超過した時点で、または予測コストが予算を超えると判断された時点で、管理者チームにEメールでアラートを送信したいと考えています。これを実現する最適なサービスはどれですか？","AWS Cost Explorer","AWS Budgets","AWS Trusted Advisor","Amazon CloudWatch Billing Alarms",,"2","AWS Budgetsを使用すると、カスタムのコストおよび使用量の予算を設定し、実際のコストまたは「予測コスト」が閾値を超えた場合にアラート（メールやSNS）を送信させることができます。",4
"AWS環境のアーキテクチャを評価し、アイドル状態のAmazon RDSインスタンスや、アタッチされていない（孤立した）EBSボリュームなど、無駄なコストを発生させているリソースを特定して、コスト削減の推奨事項を自動的に提示してくれるサービスはどれですか？","AWS Cost Explorer","AWS Budgets","AWS Trusted Advisor","AWS Systems Manager",,"3","AWS Trusted Advisorは、AWS環境をスキャンしてベストプラクティスと比較し、「コスト最適化」のカテゴリで使用率の低いリソースを特定し、無駄な支出を削減するための推奨事項を提供します。",4
"企業は、不定期に発生し、完了までに約30分かかるバッチ処理ジョブを実行する必要があります。開発チームはインフラストラクチャのプロビジョニングやOSの管理を行いたくありません。最も費用対効果が高く、運用オーバーヘッドが少ないコンピューティングサービスはどれですか？","AWS Lambda関数を作成してジョブを実行する。","Amazon EC2インスタンスをスポットリクエストで起動して実行する。","Amazon ECS (AWS Fargate 起動タイプ) でタスクを実行する。","Amazon EKS (Amazon EC2 起動タイプ) を使用する。",,"3","AWS Lambdaは最大実行時間が15分に制限されているため、30分かかるジョブは実行できません。インフラストラクチャの管理が不要で、長時間のコンテナタスクをサーバーレスで実行できるAWS Fargateが最適な選択肢です。",3
"オンプレミスのデータセンターにある10TBのファイルデータを、AWS上のAmazon EFSに移行する予定です。データは移行中もオンプレミスで継続的に更新されるため、最終的な切り替え(カットオーバー)の直前まで差分を同期し続ける必要があります。帯域幅が1Gbpsのインターネット接続がある場合、最適な移行サービスはどれですか？","AWS Snowball Edge デバイスを注文して物理的にデータを転送する。","AWS Storage Gateway (ファイルゲートウェイ) をデプロイする。","AWS DataSync を使用してオンプレミスからEFSへデータを同期する。","S3 Transfer Acceleration を使用してS3に転送し、そこからEFSにコピーする。",,"3","AWS DataSyncは、オンプレミスストレージシステムとAWS（Amazon EFSやS3など）の間でデータを高速かつ安全にオンライン移行・同期するためのサービスであり、継続的な差分同期（カットオーバー前の同期）に最適です。",2
"Amazon RDS for MySQLデータベースで稼働している本番アプリケーションがあります。毎週金曜日に、分析チームがこのデータベースに対して負荷の高いレポートクエリを実行するため、通常のユーザートランザクションのパフォーマンスが著しく低下しています。メインデータベースのパフォーマンスを維持しつつ、レポート要件を満たす最も費用対効果の高い方法はどれですか？","RDSのマルチAZ配置を有効にし、スタンバイインスタンスにクエリを送信する。","RDS リードレプリカを作成し、分析チームのレポートクエリをリードレプリカに向ける。","Amazon ElastiCache for Redisを導入してレポートクエリの結果をキャッシュする。","RDSデータベースのインスタンスクラス（サイズ）をスケールアップする。",,"2","RDSリードレプリカを作成することで、読み取り専用のトラフィック（負荷の高いレポートクエリなど）をプライマリデータベースからオフロードし、通常のユーザートランザクションへの影響を排除できます。なお、マルチAZのスタンバイインスタンスには直接アクセスしてクエリを実行することはできません。",3
"企業は、外部のパートナー企業からAmazon S3バケットへ大容量のデータファイルを安全にアップロードしてもらいたいと考えています。パートナー企業にはAWSアカウントやIAM認証情報を渡したくありません。この要件を満たす最も安全で運用負荷の少ない方法はどれですか？","S3バケットを一時的にパブリック書き込み可能にする。","IAMユーザーを作成し、アクセスキーをパートナーにメールで送信する。","S3バケットポリシーでパートナー企業のパブリックIPアドレスからのPutObjectを許可する。","アップロード用のAmazon S3 署名付きURL (Presigned URL) を生成し、パートナーに提供する。",,"4","Amazon S3の署名付きURLを使用すると、AWS認証情報を持たないユーザーに対して、特定のオブジェクトを特定の期間内だけアップロード（PUT）またはダウンロード（GET）する一時的な権限をプログラムで安全に付与できます。",1
