question,option1,option2,option3,option4,option5,answer,explanation,domain
"アプリケーションがAmazon S3とAmazon DynamoDBに対して大量のデータの読み書きを行っています。アプリケーションはプライベートサブネット内のEC2で稼働しており、パブリックサブネットのNATゲートウェイ経由で通信しているため、NATのデータ処理料金が高騰しています。コストを下げる方法はどれですか？","EC2インスタンスをパブリックサブネットに移動し、Elastic IPを割り当てる。","S3とDynamoDB用のゲートウェイVPCエンドポイントを作成し、プライベートサブネットのルートテーブルを更新する。","AWS Direct Connectを導入してオンプレミス経由でルーティングする。","NATゲートウェイをより小さなサイズのNATインスタンスに置き換える。",,"2","S3とDynamoDB向けの「ゲートウェイ VPCエンドポイント」は追加料金なしで利用でき、NATゲートウェイを経由せずにAWS内のプライベートネットワークで直接通信するため、高額なデータ処理料金を完全に排除できます。",4
"AWS環境全体の利用状況を継続的に評価し、アイドル状態のAmazon RDSインスタンスや、アタッチされていない（孤立した）EBSボリュームなど、無駄なコストを発生させているリソースを特定して、コスト削減の推奨事項をダッシュボードで提示してくれるサービスはどれですか？","AWS Cost Explorer","AWS Compute Optimizer","AWS Trusted Advisor","AWS Systems Manager",,"3","AWS Trusted Advisorは、AWS環境をスキャンしてベストプラクティスと比較し、「コスト最適化」のカテゴリで使用率の低いリソースやアイドル状態のリソースを特定し、無駄な支出を削減するための推奨事項を提供します。",4
"新しいアプリケーションのデータストアとしてAmazon DynamoDBを使用します。リリース直後はトラフィックの量が全く予測できず、場合によってはリクエストがゼロになる時間帯もあると想定されます。オーバープロビジョニングによるコストの無駄を防ぐためのDynamoDBの設定はどれですか？","プロビジョンドキャパシティモードに設定し、容量を高めに固定する。","プロビジョンドキャパシティモードでAuto Scalingを構成する。","オンデマンドキャパシティモードに設定する。","リザーブドキャパシティを購入する。",,"3","DynamoDBのオンデマンドキャパシティモードは、キャパシティ計画が不要で、アプリケーションが実行した読み取りおよび書き込みリクエストに対してのみ課金されるため、予測不可能な新しいワークロードに最適です。",4
"企業は、S3バケット内の特定のプレフィックス（例: `temp/`）に保存されるすべてのファイルについて、作成から7日後に自動的に完全に削除したいと考えています。これを実現する運用オーバーヘッドが最も少なく、かつ無料の方法はどれですか？","S3 イベント通知を使用してLambdaをトリガーし、7日待機して削除する。","Amazon EventBridgeでcronジョブを設定し、APIで古いオブジェクトを削除する。","S3 Intelligent-Tieringを使用して自動削除を有効にする。","S3 ライフサイクルルールを作成し、対象のプレフィックスに対して7日後に「有効期限切れ(Expiration)」アクションを設定する。",,"4","S3ライフサイクルルールのExpiration（有効期限切れ）アクションを使用すると、AWSが自動的かつ無料で指定条件に合致するオブジェクトをバックグラウンドで削除してくれます。",4
"Amazon EC2インスタンス、AWS Fargate、およびAWS Lambdaを利用して複数のワークロードを実行しています。今後1年間または3年間のコンピューティング使用量をコミット（1時間あたり〇ドル支払う）することで、これらすべてのコンピュートサービスにまたがって柔軟に割引を受けたいと考えています。どの料金モデルを選択すべきですか？","EC2 スタンダードリザーブドインスタンス","EC2 コンバーティブルリザーブドインスタンス","Compute Savings Plans","EC2 Instance Savings Plans",,"3","Compute Savings Plansは最も柔軟な割引モデルであり、インスタンスファミリー、サイズ、OS、リージョンに関係なく、EC2、Fargate、Lambda全体の利用額に対して一括で自動的に割引が適用されます。",4
"現在実行中のEC2インスタンスの過去の使用状況（CPU、メモリ、ネットワークなど）を機械学習で分析し、インスタンスサイズが大きすぎる（オーバープロビジョニングされている）場合に、より安価で適切なインスタンスタイプへの変更を提案してくれるサービスはどれですか？","AWS Cost Explorer","AWS Budgets","AWS Compute Optimizer","AWS Pricing Calculator",,"3","AWS Compute Optimizerは、機械学習を使用して過去のリソース使用率メトリクスを分析し、EC2インスタンス、EBSボリューム、Lambda関数などの最適な構成（スケールダウンによるコスト削減など）を推奨します。",4
"オンプレミスのMySQLデータベースをAWSに移行するプロジェクトがあります。社内のDBA（データベース管理者）チームは、OSのパッチ適用、データベースソフトウェアの更新、バックアップ、マルチAZによる高可用性構成などの運用管理タスクから解放されたいと考えています。コストを最適化しつつ要件を満たすサービスはどれですか？","Amazon EC2上にMySQLをインストールして管理する。","Amazon DynamoDBにデータモデルを移行する。","Amazon RDS for MySQLを使用する。","AWS Database Migration Service (DMS) を継続的に実行する。",,"3","Amazon RDSはフルマネージド型のリレーショナルデータベースサービスであり、バックアップ、パッチ適用、マルチAZによるフェイルオーバーなどをAWSが自動で管理するため、DBAの運用コストが大幅に下がります。",4
"ある企業は、AWS上で新しいアプリケーションを構築しており、関係データベースを必要としています。このアプリケーションは1日のうち特定の数時間だけ非常に高いトラフィックが発生し、それ以外の時間はほとんどアクセスがありません。開発チームは、データベースの容量を手動で管理したくないと考えています。要件を満たし、コストを最適化する最適なサービスはどれでしょうか。","Amazon RDS for MySQL (プロビジョンド)","Amazon Aurora Serverless","Amazon DynamoDB (オンデマンドモード)","Amazon Redshift",,"2","Amazon Aurora Serverlessは、アプリケーションのニーズに基づいてデータベースのコンピューティング容量を自動的に起動、スケールアップ、スケールダウン、シャットダウンするため、予測不可能で断続的なリレーショナルデータベースのワークロードに最適です。",3
"世界中のユーザーにコンテンツを提供するWebサイトがあります。企業の法務部門から、特定の国のユーザーにはその国に特化したデータセンター（リージョン）からコンテンツを配信し、データ主権に関する法律を遵守するよう指示がありました。これを実現するAmazon Route 53のルーティングポリシーはどれでしょうか。","レイテンシーベースルーティング","加重ルーティング","地理的ルーティング (Geolocation routing)","複数値回答ルーティング",,"3","地理的ルーティング（Geolocation routing）を使用すると、ユーザーの送信元IPアドレス（地理的な場所）に基づいて、特定の国のユーザーを特定のAWSリージョンのエンドポイントに確実かつ正確にルーティングできます。",2
"アカウントAにあるEC2インスタンス上のアプリケーションが、アカウントBにあるAmazon S3バケットに機密データをアップロードする必要があります。最も安全で管理オーバーヘッドの少ないクロスアカウントアクセスの方法はどれでしょうか。","アカウントBでIAMユーザーを作成し、アクセスキーをアカウントAのEC2インスタンスに保存する。","アカウントBのS3バケットをパブリックに設定し、アカウントAのパブリックIPからのアクセスのみを許可する。","アカウントBでS3へのアクセス権を持つIAMロールを作成し、アカウントAを信頼するポリシーを設定する。アカウントAのEC2からそのロールを引き受ける(AssumeRole)。","アカウントAとアカウントBの間にVPCピアリング接続を作成する。",,"3","クロスアカウントアクセスのベストプラクティスは「IAMロールの引き受け（AssumeRole）」です。信頼されたアカウント（A）のプリンシパルが、リソースを持つアカウント（B）のロールを引き受けることで、アクセスキーの共有を避けて安全にアクセスできます。",1
"企業は、SaaS型のアプリケーションを自社のVPC内でホストし、他の複数の顧客企業のVPCにサービスとして提供したいと考えています。セキュリティの要件として、トラフィックはパブリックインターネットを経由してはならず、また顧客側のVPCと自社のVPCでIPアドレスが重複していても接続できるようにする必要があります。最適なAWSサービスはどれでしょうか。","VPC ピアリング","AWS Transit Gateway","AWS PrivateLink (VPC エンドポイントサービス)","AWS Site-to-Site VPN",,"3","AWS PrivateLinkを使用すると、自社のVPC内のサービスを「VPCエンドポイントサービス」として公開し、顧客は自身のVPCからインターフェイスエンドポイント経由でプライベートにアクセスできます。IPアドレスの重複問題も発生しません。",1
"eコマースプラットフォームを運営する企業が、大規模なDDoS攻撃の標的になりました。アプリケーションはApplication Load Balancer (ALB) と Amazon EC2 で構成されています。今後の高度なDDoS攻撃からシステムを保護し、DDoS攻撃によるスケーリングによって生じたインフラストラクチャの追加コストを保護(コスト保護)してくれるサービスはどれでしょうか。","AWS WAF","AWS Shield Advanced","Amazon GuardDuty","AWS Firewall Manager",,"2","AWS Shield Advancedは、アプリケーションに対する高度なDDoS攻撃からの強力な保護、DDoSレスポンスチーム(DRT)へのアクセス、およびDDoS攻撃に起因するリソース増大に対する「コスト保護（クレジット）」を提供します。",1
"企業は、金融取引の履歴データを処理するメッセージングシステムを構築しています。各取引メッセージは、システムコンポーネント間で「送信された順序と全く同じ順序」で、かつ「重複なしで1回だけ(Exactly-Once)」処理されなければなりません。この要件を満たす最適なサービスはどれでしょうか。","Amazon SQS 標準キュー","Amazon Kinesis Data Firehose","Amazon SNS","Amazon SQS FIFO キュー",,"4","Amazon SQSの「FIFO（First-In-First-Out）キュー」は、メッセージの順序を厳密に保持し、重複排除IDを使用して同じメッセージが複数回処理されないこと（Exactly-Once処理）を保証するよう設計されています。",2
"AWS環境上で実行される機械学習ワークロードがあり、何百台ものAmazon EC2インスタンスが、ミリ秒未満のレイテンシーと数百GB/秒のスループットで共有データにアクセスする必要があります。データはAmazon S3バケットからロードされます。最適な高性能ファイルシステムはどれでしょうか。","Amazon Elastic File System (EFS)","Amazon EBS プロビジョンドIOPS SSD (io2)","Amazon FSx for Lustre","AWS Storage Gateway",,"3","Amazon FSx for Lustreは、機械学習やHPCなどの計算集約型のワークロード向けに最適化された高性能ファイルシステムであり、Amazon S3とネイティブに統合してS3バケットのデータをファイルとして透過的に処理できます。",3
"ある企業は、オンラインゲームのリアルタイムランキング（リーダーボード）機能を開発しています。数百万のユーザーのスコアが常に更新され、上位のプレイヤーをリアルタイムでソートして表示する必要があります。リレーショナルデータベースでは要件を満たせないことが判明しました。最適な代替サービスはどれでしょうか。","Amazon DynamoDB","Amazon Redshift","Amazon ElastiCache for Redis","Amazon S3",,"3","Amazon ElastiCache for Redisは、ミリ秒未満のレイテンシーを提供するインメモリデータストアであり、「ソート済みセット(Sorted Sets)」という複雑なデータ構造をネイティブサポートしているため、リアルタイムのリーダーボードに最適です。",3
"IAMユーザーが、AWS KMSのカスタマーマネージドキー(CMK)を使用して暗号化されたAmazon S3のファイルをダウンロード（復号）しようとしたところ、「Access Denied」エラーが発生しました。このIAMユーザーのポリシーには「kms:Decrypt」権限が明示的に許可されています。原因として最も可能性が高いものはどれでしょうか。","S3バケットが別のアベイラビリティーゾーンにあるため。","KMSキーの「キーポリシー」で、このIAMユーザー（またはアカウント自体）に対する権限が許可されていないため。","IAMユーザーに「s3:PutObject」権限がないため。","KMSキーが自動ローテーションされているため。",,"2","AWS KMSでは、IAMポリシーによる許可だけでなく、キー自体に設定される「キーポリシー」でもアクセスが許可（またはIAMポリシーへの権限委譲が許可）されている必要があります。双方が許可して初めてアクセス可能になります。",1
"企業はAWS Organizationsを使用して数十のAWSアカウントを管理しています。各アカウントで個別にバックアップスクリプトを管理するのではなく、Amazon EC2、EBS、RDS、DynamoDBなどのリソースのバックアップスケジュールと保持期間を、組織全体で一元的に定義し、自動的に適用したいと考えています。使用すべきサービスはどれでしょうか。","AWS Systems Manager Automation","AWS Config","AWS Backup","Amazon Data Lifecycle Manager (DLM)",,"3","AWS Backupは、AWS Organizationsとネイティブに統合されており、バックアップポリシーを組織(OU)全体に一元的に適用して、複数のアカウントおよび複数サービスにまたがるバックアップの自動化とコンプライアンス管理を提供します。",2
"あるアプリケーションは、Web層(EC2)とデータベース層(Amazon RDS MySQL)で構成されています。障害復旧(DR)戦略の一環として、プライマリリージョンで障害が発生した場合に、別のリージョンからデータベースへの読み取りアクセスを継続し、必要に応じて迅速に昇格(フェイルオーバー)させたいと考えています。最適なRDSの構成はどれでしょうか。","マルチAZ配置を有効にする。","別リージョンにクロスリージョンリードレプリカを作成する。","毎時間スナップショットを取得し、Lambdaで別リージョンにコピーする。","データベースをAmazon DynamoDB グローバルテーブルに移行する。",,"2","Amazon RDSの「クロスリージョンリードレプリカ」を作成することで、別リージョンにデータを非同期で継続的にレプリケートでき、DR（ディザスタリカバリ）時のデータ損失を最小限に抑え、必要時にスタンドアロンDBとして昇格できます。",2
"動画のレンダリング処理を行うバッチアプリケーションをAmazon EC2上で実行しています。この処理ジョブは、処理が途中で中断されても後から安全に再開できる柔軟性（フォールトトレラント性）を持っています。インフラストラクチャのコストを最大90%削減できるEC2の購入オプションはどれでしょうか。","オンデマンドインスタンス","Compute Savings Plans","スポットインスタンス","ハードウェア専有ホスト (Dedicated Hosts)",,"3","スポットインスタンスは、AWS内の空きコンピューティング容量を利用するため、オンデマンド料金から最大90%の大幅な割引が適用されます。AWSの都合で中断される可能性がありますが、動画レンダリングなどのバッチ処理に最適です。",4
"医療データを保存するアプリケーションがあり、データはAmazon S3に保存されます。コンプライアンスにより、これらの記録は作成から7年間保持される必要があり、最初の30日間は頻繁にアクセスされますが、それ以降はアクセスされることはほぼありません。ただし、緊急時にはミリ秒単位でデータを取り出せる必要があります。ストレージコストを最小化するライフサイクルルールはどれでしょうか。","30日後に S3 Standard から S3 Glacier Flexible Retrieval に移行する。","30日後に S3 Standard から S3 Standard-IA (低頻度アクセス) に移行する。","30日後に S3 Standard から S3 Intelligent-Tiering に移行する。","30日後にデータを削除する。",,"2","緊急時に「ミリ秒単位での即時アクセス」が必要なため、取り出しに数分〜数時間かかるGlacierクラスは要件を満たしません。ミリ秒のアクセス速度を維持しつつコストを下げるには S3 Standard-IA が最適です。",4
"VPC内のプライベートサブネットで稼働するAmazon EC2インスタンス群が、高可用性を確保しつつApplication Load Balancer (ALB) の背後でWebトラフィックを処理しています。単一のデータセンター（アベイラビリティーゾーン）の障害に対する耐性（レジリエンス）を持たせるための最適なアーキテクチャ構成はどれでしょうか。","1つのアベイラビリティーゾーン内でEC2インスタンスの数を倍にする。","Auto Scalingグループを構成し、複数のアベイラビリティーゾーン（プライベートサブネット）にまたがってインスタンスを展開する。","ALBの代わりにNetwork Load Balancer (NLB) を使用し、Elastic IPを割り当てる。","Amazon Route 53のフェイルオーバールーティングを使用して別のVPCにフェイルオーバーする。",,"2","単一のデータセンター(AZ)障害に対する耐性を持たせるベストプラクティスは、複数のAZにまたがるサブネットをAuto Scalingグループのデプロイ先として指定し、ALBを複数のAZにまたがって配置することです。",2
"開発チームは、AWSに動画ファイルをアップロードするWebアプリケーションを構築しています。ユーザーは世界中に存在しますが、ユーザーの物理的な場所からAWSへのインターネットルーティングの遅延により、アップロードに非常に時間がかかっています。既存のS3バケットを利用して、安全かつ最も高速にアップロードを完了させるAWS機能はどれでしょうか。","AWS Global Accelerator","Amazon CloudFront の オリジンアクセス制御 (OAC)","Amazon S3 Transfer Acceleration","AWS Direct Connect",,"3","Amazon S3 Transfer Accelerationは、CloudFrontのグローバルに分散されたエッジロケーションを経由して、AWSの最適化されたネットワークバックボーンを利用することで、長距離間のS3へのデータアップロードを劇的に高速化します。",3
