question,option1,option2,option3,option4,option5,answer,explanation,domain
"大量のユーザーデータをAmazon S3に保存しています。データは作成後30日間は頻繁にアクセスされますが、それ以降はほとんどアクセスされません。ただし、監査の要件により、必要になった場合はミリ秒単位で即座にアクセスできる必要があります。最もコスト効率の良いストレージクラスはどれですか？","S3 Standard","S3 Intelligent-Tiering","S3 Standard-IA (低頻度アクセス)","S3 Glacier Flexible Retrieval",,"3","作成後30日以降のアクセス頻度が低く、かつ即時アクセスの要件がある場合、S3 Standard-IA（またはライフサイクルルールで30日後にIAに移行）がストレージコストを削減する最適な選択です。",4
"EC2上で動作する画像処理のバッチジョブがあります。このジョブは処理が中断されても最初からやり直すことができる柔軟性を持っています。EC2のコンピューティングコストを最大90%削減できるインスタンスの購入オプションはどれですか？","オンデマンドインスタンス","リザーブドインスタンス","スポットインスタンス","Dedicated Hosts (専用ホスト)",,"3","スポットインスタンスはAWSの余剰キャパシティを利用するため大幅な割引が適用されます。AWSが必要とした際に中断される可能性がありますが、耐障害性のあるバッチ処理に最適です。",4
"会社はAmazon S3に数年分のログデータを保存しています。コンプライアンス要件により、データは作成から1年後にアーカイブされ、7年間保存される必要があります。アーカイブされたデータへのアクセスはまれであり、取り出しに最大12時間かかっても許容されます。ストレージコストを最小化するサービスはどれですか？","S3 Standard-IA","S3 Glacier Flexible Retrieval","S3 Glacier Deep Archive","AWS Storage Gateway",,"3","S3 Glacier Deep Archiveは、取り出しに数時間（最大12時間）かかってもよい長期アーカイブデータに対して、S3ストレージクラスの中で最も安価なオプションを提供します。",4
"運用チームは、Amazon S3バケット内のオブジェクトのアクセスパターンが予測できないことに気づきました。一部のデータは毎日アクセスされますが、他のデータは何ヶ月もアクセスされません。手動でのデータ分析や移動のオーバーヘッドをかけずに、ストレージコストを自動的に最適化するS3ストレージクラスはどれですか？","S3 Standard","S3 Intelligent-Tiering","S3 One Zone-IA","S3 Glacier Instant Retrieval",,"2","S3 Intelligent-Tieringは、アクセスパターンを監視し、アクセス頻度が低いデータを自動的に低コストのアクセス階層に移動させるため、アクセスが予測不可能なデータのコスト最適化に最適です。",4
"Amazon EC2インスタンス、AWS Fargate、AWS Lambdaを利用して複数のワークロードを実行しています。今後1年間のコンピューティング使用量（1時間あたりの金額）をコミットすることで、これらすべてのサービスにまたがって割引を適用したいと考えています。どの料金モデルを選択すべきですか？","EC2 スタンダードリザーブドインスタンス","EC2 コンバーティブルリザーブドインスタンス","Compute Savings Plans","EC2 スポットインスタンス",,"3","Compute Savings Plansは、EC2インスタンスファミリー、サイズ、OS、リージョン、さらにはFargateやLambdaなどのコンピューティングサービス全体にわたって柔軟に割引を適用できるプランです。",4
"開発チームは、営業時間（月〜金の午前9時〜午後6時）のみ開発環境のEC2インスタンスとRDSインスタンスを使用します。それ以外の時間はインスタンスを実行したままにしておく必要がありません。コストを最適化するための最も自動化されたアプローチはどれですか？","毎週金曜日に手動でインスタンスを停止し、月曜日に開始する。","AWS Instance Scheduler (またはEventBridge + Lambda) を設定して、スケジュールに基づいてインスタンスを自動的に停止および起動する。","EC2 Auto Scalingでインスタンスをゼロにする。","スポットインスタンスを使用して夜間に自動終了させる。",,"2","AWS提供のソリューション（Instance Schedulerなど）を使用して、営業時間外のEC2およびRDSの自動停止・起動をスケジュールすることで、不要なコンピューティングコストを確実に削減できます。",4
"企業は複数のAWSアカウント（開発用、テスト用、本番用）を運用しています。各アカウントの利用料金を個別にクレジットカードで支払うのではなく、請求を1つにまとめ、全体でのボリュームディスカウント（S3の階層型料金など）の恩恵を受けたいと考えています。どのAWSサービスを使用すべきですか？","AWS Cost Explorer","AWS Budgets","AWS Organizations (一括請求 / Consolidated Billing)","AWS Control Tower",,"3","AWS Organizationsの「一括請求（Consolidated Billing）」機能を使用すると、複数アカウントの支払いを1つにまとめ、すべてのアカウントの合算使用量に基づいて割引が適用されます。",4
"毎月のAWSの利用料金が、設定した予算（例：月額1000ドル）の80%に達した時点で、管理者チームにEメールまたはSNSでアラートを送信したいと考えています。これを実現する最適なサービスはどれですか？","AWS Cost Explorer","AWS Budgets","AWS Trusted Advisor","Amazon CloudWatch Billing Alarms",,"2","AWS Budgetsは、カスタムの予算を設定し、実際のコストや予測コストがその閾値（例：80%）を超えた場合にアラート（メールやSNS）を送信する機能を提供します。",4
"VPC内のプライベートサブネットにある多数のEC2インスタンスが、ソフトウェアの更新のためにインターネット上のリポジトリにアクセスする必要があります。要件として、各AZの可用性を維持しつつ、コストと管理オーバーヘッドを最小限に抑えたいと考えています。最適な構成はどれですか？","各プライベートサブネットに1つずつ、合計複数のNATゲートウェイをデプロイする。","各パブリックサブネットにNATインスタンスを配置し、スクリプトで管理する。","パブリックサブネットに1つのNATゲートウェイをデプロイし、すべてのプライベートサブネットからのルーティングをそこに向ける。","EC2インスタンスにパブリックIPを付与し、インターネットゲートウェイを使用する。",,"1","(※注: 厳密なコスト重視なら1つだが、可用性要件「各AZの可用性を維持」を満たすには各AZにNAT GWを配置するのがベストプラクティスです。SLAと可用性のバランスで1が正解となります)",4
"AWS環境全体のアーキテクチャを評価し、「コスト最適化」「セキュリティ」「パフォーマンス」「耐障害性」「運用上の優秀性」の5つの柱に基づいて、無駄なリソース（アイドル状態のRDSなど）がないか自動で推奨事項を提示してくれるサービスはどれですか？","AWS Well-Architected Tool","AWS Trusted Advisor","AWS Cost Explorer","AWS Systems Manager",,"2","AWS Trusted Advisorは、AWS環境をスキャンし、コスト削減（例: 使用されていないEBSの検出）、パフォーマンス向上、セキュリティ強化などのベストプラクティスに基づいた具体的な推奨事項をリアルタイムで提供します。",4
"Amazon DynamoDBテーブルに対して、アクセスが急激にスパイクする日もあれば、全くアクセスがない日もある新しいアプリケーションを構築しています。事前のキャパシティ計画が難しく、オーバープロビジョニングによるコストの無駄を避けたい場合、最適な課金モードはどれですか？","プロビジョンドキャパシティモード","プロビジョンドキャパシティ (Auto Scaling有効)","オンデマンドキャパシティモード","リザーブドキャパシティ",,"3","オンデマンドモードは、事前のキャパシティ計画なしに、アプリケーションが実行した読み取り/書き込みリクエストに対してのみ課金されるため、予測不可能な新しいワークロードに最適です。",4
"企業は、S3バケット内の特定のプレフィックス（例: `logs/`）に保存されるすべてのオブジェクトを、作成から30日後に自動的に完全に削除したいと考えています。これを実現する運用オーバーヘッドが最も低い方法はどれですか？","S3 イベント通知を使用してLambdaをトリガーし、30日待機して削除する。","Amazon EventBridgeで毎日のcronジョブを設定し、APIで古いオブジェクトを削除する。","S3 ライフサイクルポリシーを作成し、対象のプレフィックスに対して30日後に「有効期限切れ(Expiration)」アクションを設定する。","S3 Intelligent-Tieringを使用して自動削除を有効にする。",,"3","S3ライフサイクルルールのExpiration（有効期限切れ）アクションを設定することで、AWSがバックグラウンドで条件を満たしたオブジェクトを自動的かつ無料で削除してくれます。",4
"オンプレミスのMySQLデータベースをAWSに移行する予定です。社内のDBA（データベース管理者）チームは、OSのパッチ適用、データベースのバックアップ、フェイルオーバーの構成などの日常的な管理タスクから解放されたいと考えています。コストを最適化しつつ要件を満たすサービスはどれですか？","Amazon EC2上にMySQLをインストールする。","Amazon RDS for MySQL","Amazon DynamoDB","Amazon Redshift",,"2","Amazon RDSはフルマネージド型のリレーショナルデータベースサービスであり、バックアップ、パッチ適用、マルチAZによるフェイルオーバーなどをAWSが自動で管理するため運用コストが下がります。",4
"企業は、Amazon S3バケットに機密データを保存しています。セキュリティチームは、S3バケットに保存されるすべてのデータが、企業が管理する専用のマスターキーで暗号化されることを求めています。さらに、暗号化キーへのアクセス履歴を詳細に監査できる必要があります。最も適切な方法はどれですか？","Amazon S3マネージドキー (SSE-S3) を使用する。","AWS KMS カスタマー管理キー (SSE-KMS) を使用し、CloudTrailで監査する。","AWS KMS AWSマネージドキー (SSE-KMS) を使用する。","カスタマー提供キー (SSE-C) を使用する。",,"2","AWS KMSカスタマー管理キー（CMK）を使用することで、企業がキーのポリシーを完全に制御でき、CloudTrailを通じて誰がいつキーを使用したかの監査ログを取得できます。",1
"ある動画ストリーミングサービスは、世界中のユーザーに低遅延で動画コンテンツを配信したいと考えています。現在、コンテンツは1つのリージョンのAmazon EC2インスタンスから直接配信されており、海外のユーザーから読み込みが遅いと苦情が出ています。アーキテクチャを最適化するためのアプローチはどれですか？","Amazon CloudFrontディストリビューションを作成し、オリジンとしてEC2インスタンスまたはS3バケットを設定する。","EC2インスタンスのインスタンスタイプをネットワーク最適化インスタンスに変更する。","Amazon Route 53のレイテンシーベースルーティングを使用して、リクエストを同じEC2インスタンスにルーティングする。","AWS Global Acceleratorを構成し、UDPトラフィックを有効にする。",,"1","Amazon CloudFrontは世界中のエッジロケーションを利用してコンテンツをキャッシュ・配信するCDNであり、静的および動的コンテンツのグローバルな配信遅延を劇的に改善します。",3
