question,option1,option2,option3,option4,option5,answer,explanation,domain
"ある企業がAWSを活用して画像共有アプリケーションを運営しています。このアプリケーションはEC2インスタンスを基盤として構成されており、同一のAWSリージョン内に存在する複数のAmazon S3バケット間で画像を共有する必要があります。画像のアップロードやダウンロードが頻繁に行われるため、NATゲートウェイ経由のデータ転送にかかるコストが増大しています。コスト削減の施策として最適なものはどれでしょうか。","ゲートウェイエンドポイントをVPCに配置し、適切なルートテーブルを設定してAmazon S3へのトラフィックをルーティングする。","インターフェイスエンドポイントをパブリックサブネットに配置し、Elastic IPを割り当てる。","AWS Direct Connectを導入してオンプレミス経由でS3にアクセスする。","S3バケットをパブリックに設定し、インターネットゲートウェイ経由でアクセスする。",,"1","Amazon S3への大量のトラフィックがある場合、無料の「ゲートウェイVPCエンドポイント」をVPCにデプロイしルートテーブルを更新することで、NATゲートウェイのデータ処理料金を完全に回避しコストを大幅に削減できます。",4
"開発チームは、AWS Fargateを使用してマイクロサービスを実行しています。アプリケーションログは一元化された場所に保存し、後から検索や分析ができるようにしたいと考えています。コンテナから出力される標準出力を収集し、保存・検索するためのネイティブなAWSサービスの組み合わせはどれでしょうか。","Amazon S3 と Amazon Athena","Amazon CloudWatch Logs","AWS CloudTrail","Amazon EFS",,"2","AWS Fargate（およびECS全般）は、コンテナの標準出力（ログ）を「awslogs」ログドライバーを使用して直接Amazon CloudWatch Logsに送信するようネイティブに統合されており、そこでログの保存や検索が可能です。",2
"企業は、AWS上で提供しているSaaSアプリケーションの静的IPアドレスを顧客に提供し、顧客側のファイアウォールでホワイトリスト化してもらう必要があります。アプリケーションはApplication Load Balancer (ALB) の背後にあります。固定のパブリックIPアドレスを提供できるサービスはどれでしょうか。","Amazon CloudFront","Amazon Route 53","AWS Global Accelerator","Amazon API Gateway",,"3","AWS Global Acceleratorは、2つの静的なエニーキャストIPアドレスを提供し、バックエンドのALBやEC2へトラフィックをルーティングできるため、ホワイトリスト化が必要な要件に最適です。",3
"大規模なデータウェアハウスシステムのバックアップ戦略を設計しています。Amazon Redshiftクラスターの自動スナップショットを取得していますが、単一のリージョンで大規模な災害が発生した場合に備えて、別リージョンにバックアップを保持したいと考えています。どのように設定すべきでしょうか。","Redshiftのクロスリージョンスナップショットコピースケジュールを構成する。","AWS Database Migration Service (DMS) を使用して別リージョンに同期する。","AWS Lambda関数を作成し、毎日スナップショットをエクスポートしてS3クロスリージョンレプリケーションを使用する。","RedshiftのマルチAZ配置を有効にする。",,"1","Amazon Redshiftには、手動または自動で取得されたスナップショットを別のAWSリージョンに自動的に非同期コピーする「クロスリージョンスナップショットコピー」機能が組み込まれています。",2
"企業は、VPC内のEC2インスタンスからインターネット上のサードパーティAPIへHTTPSでアクセスする必要があります。セキュリティ要件により、インスタンスはプライベートサブネットに配置され、パブリックIPを持つことはできません。ネットワークトラフィックを外にルーティングするための構成はどれでしょうか。","パブリックサブネットにNATゲートウェイを作成し、プライベートサブネットのルートテーブルでデフォルトルート(0.0.0.0/0)をそこに向ける。","プライベートサブネットにインターネットゲートウェイをアタッチする。","VPCエンドポイント (インターフェイス型) を作成し、サードパーティAPIのURLを指定する。","AWS Site-to-Site VPNを設定する。",,"1","プライベートサブネットにあるインスタンスからインターネットへのアウトバウンドアクセス（API呼び出しなど）を行うには、パブリックサブネットに配置したNATゲートウェイを経由させる必要があります。",1
"あるアプリケーションは、VPC内のEC2インスタンスで稼働し、バックエンドにAmazon DynamoDBを使用しています。アプリケーションのトラフィックは予測不可能で、1日のうちに数回だけ急激なスパイクが発生します。DynamoDBの読み書きキャパシティのコストを最適化するための設定はどれでしょうか。","プロビジョンドキャパシティモードに設定し、上限を高めに設定する。","オンデマンドキャパシティモードに設定する。","DynamoDB Accelerator (DAX) を構成する。","リザーブドキャパシティを購入する。",,"2","トラフィックが予測不可能でスパイクが発生するワークロードの場合、オンデマンドキャパシティモードを使用することで、実行されたリクエストに対してのみ課金され、容量のオーバープロビジョニングによる無駄なコストを防ぎます。",4
"開発者が、コンテナ化されたWebアプリケーションをAWS上にデプロイしたいと考えています。このアプリケーションは、複数のコンテナインスタンスから同時に読み書きできる共有ファイルストレージを必要とします。また、サーバーのプロビジョニングやOSのパッチ適用といったインフラ管理タスクを一切行いたくないと考えています。最適なアーキテクチャはどれでしょうか。","Amazon EKS と Amazon EBS を使用する。","Amazon ECS と EC2 起動タイプを使用し、Amazon EFS をマウントする。","Amazon ECS と AWS Fargate 起動タイプを使用し、Amazon EFS をマウントする。","AWS Lambda と Amazon S3 を組み合わせる。",,"3","AWS Fargateはサーバー管理が不要なコンテナ向けサーバーレスエンジンです。Amazon EFSは複数のFargateタスクから同時にマウントして読み書きできるフルマネージドな共有ファイルシステムであり、この要件に最適です。",2
"あるソリューションアーキテクトは、AWSを活用してジョブを並列分散処理するワークロードを設計しています。このアプリケーションでは、メッセージに基づいて処理されるジョブの負荷に応じてEC2インスタンス数が増減されるように調整する必要があります。このジョブはステートレスであり、疎結合に実行されることが求められます。この要件を満たすために、どのようにソリューションを設計するべきでしょうか。","Application Load Balancerを配置し、EC2 Auto ScalingグループでCPU使用率をトリガーにする。","Amazon Kinesis Data Streamsを使用し、Lambda関数でスケーリングする。","Amazon SQSキューを作成し、キューメッセージ数にかかるインスタンスあたりのバックログを指標にしたターゲット追跡スケーリングポリシーを設定したAuto Scalingグループを構成する。","AWS Step Functionsを使用して、EC2インスタンスの起動と停止をオーケストレーションする。",,"3","Amazon SQSを使用してシステムを疎結合にし、Auto Scalingグループのターゲット追跡スケーリングポリシーの指標として「SQSキューのバックログ（メッセージ数）」を使用することで、負荷に応じた適切なスケーリングが可能になります。",2
"会社は毎日数GBの画像データをAmazon S3にアップロードしています。これらの画像は最初の30日間は頻繁にアクセスされますが、それ以降はほとんどアクセスされません。ただし、監査の要件により、必要になった場合はミリ秒単位で即座にアクセスできる必要があります。最もコスト効率の良いストレージクラスへの移行設定はどれでしょうか。","30日後に S3 Standard から S3 Glacier Flexible Retrieval に移行するライフサイクルルールを設定する。","30日後に S3 Standard から S3 Standard-IA に移行するライフサイクルルールを設定する。","最初からすべてのデータを S3 Intelligent-Tiering にアップロードする。","30日後にオブジェクトを削除するライフサイクルルールを設定する。",,"2","作成後30日以降のアクセス頻度が低く、かつ即時アクセス（ミリ秒単位）の要件がある場合、S3ライフサイクルルールで30日後にS3 Standard-IA（低頻度アクセス）に移行させるのが最もコスト効率の良い選択です。",4
"EC2インスタンスで一時的なキャッシュデータやスクラッチデータを処理するアプリケーションがあります。データが永続化される必要はなく、インスタンスの停止時に消去されても問題ありませんが、可能な限り最高のI/Oパフォーマンス（低レイテンシーと高IOPS）が必要です。最適なストレージソリューションはどれでしょうか。","Amazon EBS 汎用SSD (gp3)","Amazon EFS","EC2 インスタンスストア (Instance Store)","Amazon S3",,"3","EC2インスタンスストアはホストコンピューターに物理的にアタッチされた一時（エフェメラル）ストレージであり、ネットワークを経由しないため、EBSよりも高いI/Oパフォーマンスを提供しますが、インスタンス停止時にデータは失われます。",3
"世界中にユーザーを持つWebアプリケーションがあり、データベースとしてAmazon Aurora MySQLを使用しています。ヨーロッパのユーザーから、データの読み取り処理が遅いという苦情が寄せられています。データベースの読み取りパフォーマンスを世界規模で向上させる最適な機能はどれでしょうか。","Aurora グローバルデータベース (Global Database) を構成し、ヨーロッパリージョンにセカンダリクラスターを配置する。","Aurora マルチAZ配置を有効にする。","ヨーロッパリージョンにAmazon RDSリードレプリカを作成する。","ヨーロッパのエッジロケーションでAmazon CloudFrontを有効にする。",,"1","Auroraグローバルデータベースを使用すると、世界中の複数のAWSリージョンに低レイテンシーのリードレプリカ（セカンダリクラスター）を展開でき、ローカルの読み取りパフォーマンスを劇的に向上させることができます。",3
"開発環境用に稼働している複数のAmazon EC2インスタンスがあります。これらのインスタンスは、ソフトウェアのテストが終わった後、手動で終了(Terminate)し忘れることが多く、無駄なコストが発生しています。テスト完了後（たとえばインスタンス起動から24時間後）に自動的にインスタンスを終了させる最も簡単な方法はどれでしょうか。","AWS Lambda関数とEventBridgeを使用して、インスタンスの稼働時間をチェックし終了するスクリプトを記述する。","EC2スポットインスタンスをリクエストし、中断されるのを待つ。","EC2 Auto Scalingのスケールインポリシーを設定する。","EC2のインスタンスの終了保護を無効にし、OS内部からシャットダウンコマンドを発行する。",,"1","(※注: より単純にはEC2のUser Dataで「sleep 86400 && shutdown -h now」等も可能ですが、AWSマネージドなアプローチとしてはEventBridgeで定期的にLambdaをトリガーし、タグや起動時間に基づいてクリーンアップする自動化が一般的です)",4
"AWSに移行したWebアプリケーションが、ユーザーがアップロードした動画ファイルを処理しています。Webサーバー(EC2)が動画を受け取った後、バックエンドのエンコーディングサーバー(EC2)が処理を行います。トラフィックの急増時にWebサーバーがリクエストをドロップしないように、アーキテクチャを疎結合にするサービスはどれでしょうか。","Amazon Simple Notification Service (SNS)","Amazon Simple Queue Service (SQS)","Amazon Kinesis Data Firehose","AWS Lambda",,"2","Amazon SQS (Simple Queue Service) は、システムコンポーネント間の非同期な通信キューを提供し、バックエンドが処理しきれないタスクを一時的にバッファリングしてデータの損失を防ぐデカップリング（疎結合化）に最適です。",2
"AWS Organizationsを使用している企業が、特定の開発用AWSアカウントにおいて、ユーザーがAmazon EC2とAmazon S3以外のAWSサービスを使用できないように制限したいと考えています。ルートユーザーを含めてこの制限を確実に強制するアプローチはどれでしょうか。","開発アカウントのすべてのIAMユーザーにDenyポリシーをアタッチする。","AWS Organizationsのサービスコントロールポリシー (SCP) を作成し、開発アカウントにアタッチする。","VPCエンドポイントポリシーを使用して、他のサービスへのアクセスをブロックする。","AWS Configルールを使用して、許可されていないリソースが作成されたら削除する。",,"2","サービスコントロールポリシー (SCP) を使用すると、アカウント内のすべてのIAMユーザーやIAMロール（ルートユーザーを含む）が使用できる最大のアクセス許可を一元的に制限し、特定サービスのみを許可（または拒否）できます。",1
"企業は、S3バケットに保存されている数百ギガバイトのCSVファイルに対して、ETL処理（データベースへのロード）を行うことなく、標準SQLを使用して直接データを検索・分析したいと考えています。最もコスト効率が良く、インフラ管理が不要なサービスはどれでしょうか。","Amazon EC2にMySQLをインストールする。","Amazon Athena","Amazon Redshift","Amazon EMR",,"2","Amazon Athenaは、S3内のデータに対して直接SQLクエリを実行できるサーバーレスのインタラクティブなクエリサービスであり、スキャンされたデータ量に対してのみ課金されるためコスト効率に優れています。",3
"あるアプリケーションは、非常にアクセス頻度の高いデータをAmazon RDS MySQLから読み出しており、データベースのCPU使用率が常に高くなっています。アプリケーションのコード改修を最小限に抑えつつ、データベースの読み取り負荷をオフロードする最適なサービスはどれでしょうか。","Amazon ElastiCache (Redis または Memcached)","RDSのマルチAZを有効にする。","Amazon DynamoDBに移行する。","RDSのストレージをプロビジョンドIOPSに変更する。",,"1","Amazon ElastiCacheをキャッシュ層としてRDSの前に導入することで、頻繁にリクエストされるクエリ結果をインメモリで高速に返し、データベース本体への読み取り負荷を大幅に軽減できます。",3
"データウェアハウスとして数十テラバイトの構造化データをAWSに保存し、標準的なSQLクライアント（BIツールなど）を使用して複雑な分析クエリを高速に実行したいと考えています。大規模なデータセットの分析に最適なサービスはどれでしょうか。","Amazon RDS for PostgreSQL","Amazon Redshift","Amazon Athena","Amazon EMR",,"2","Amazon Redshiftは、ペタバイト規模の構造化データを処理できる高速なフルマネージド型データウェアハウス(DWH)サービスであり、複雑な分析クエリやBIツールとの連携に最適化されています。",3
"Amazon API GatewayとAWS Lambdaを使用して構築されたAPIがあります。同じリクエストが頻繁に送信されており、Lambda関数の実行回数が増加したことでコストが高騰しています。Lambda関数の実行回数を減らし、APIの応答時間を短縮するための最適な設定はどれでしょうか。","Lambda関数のメモリ割り当てを増やす。","API GatewayでAPIキャッシュを有効にし、TTL（Time to Live）を設定する。","Amazon DynamoDB Accelerator (DAX) を導入する。","API Gatewayの前にApplication Load Balancer (ALB) を配置する。",,"2","API Gatewayのキャッシュ機能を有効にすることで、バックエンドのLambda関数を呼び出すことなく、キャッシュされたレスポンスを即座に返すことができるため、レイテンシーの短縮とLambdaの呼び出しコスト削減を実現できます。",4
"EC2上で動作する画像処理のバッチジョブがあります。このジョブは処理が中断されても最初からやり直すことができる柔軟性（フォールトトレラント性）を持っています。EC2のコンピューティングコストを最も削減できるインスタンスの購入オプションはどれでしょうか。","オンデマンドインスタンス","スタンダードリザーブドインスタンス","スポットインスタンス","Dedicated Hosts (専用ホスト)",,"3","スポットインスタンスはAWSの余剰キャパシティを利用するため、オンデマンド料金から最大90%の割引が適用されます。AWSが必要とした際に中断される可能性がありますが、耐障害性のあるバッチ処理に最適です。",4
"企業は、不定期に発生し、完了までに約30分かかるバッチ処理ジョブを実行する必要があります。開発チームはインフラストラクチャのプロビジョニングやOSの管理を行いたくありません。最も費用対効果が高く、運用オーバーヘッドが少ないコンピューティングサービスはどれでしょうか。","AWS Lambda関数を作成してジョブを実行する。","Amazon EC2インスタンスをスポットリクエストで起動して実行する。","Amazon ECS (AWS Fargate 起動タイプ) でタスクを実行する。","Amazon EKS (Amazon EC2 起動タイプ) を使用する。",,"3","AWS Lambdaは最大実行時間が15分に制限されているため、30分かかるジョブは実行できません。インフラストラクチャの管理が不要で、長時間のコンテナタスクをサーバーレスで実行できるAWS Fargateが最適な選択肢です。",3
"Amazon RDS for MySQLデータベースで稼働している本番アプリケーションがあります。毎週金曜日に、分析チームがこのデータベースに対して負荷の高いレポートクエリを実行するため、通常のユーザートランザクションのパフォーマンスが著しく低下しています。メインデータベースのパフォーマンスを維持しつつ、レポート要件を満たす最も費用対効果の高い方法はどれでしょうか。","RDSのマルチAZ配置を有効にし、スタンバイインスタンスにクエリを送信する。","RDS リードレプリカを作成し、分析チームのレポートクエリをリードレプリカに向ける。","Amazon ElastiCache for Redisを導入してレポートクエリの結果をキャッシュする。","RDSデータベースのインスタンスクラス（サイズ）をスケールアップする。",,"2","RDSリードレプリカを作成することで、読み取り専用のトラフィック（負荷の高いレポートクエリなど）をプライマリデータベースからオフロードし、通常のユーザートランザクションへの影響を排除できます。なお、マルチAZのスタンバイには直接アクセスできません。",3
"企業は、外部のパートナー企業からAmazon S3バケットへ大容量のデータファイルを安全にアップロードしてもらいたいと考えています。パートナー企業にはAWSアカウントやIAM認証情報を渡したくありません。この要件を満たす最も安全で運用負荷の少ない方法はどれでしょうか。","S3バケットを一時的にパブリック書き込み可能にする。","IAMユーザーを作成し、アクセスキーをパートナーにメールで送信する。","S3バケットポリシーでパートナー企業のパブリックIPアドレスからのPutObjectを許可する。","アップロード用のAmazon S3 署名付きURL (Presigned URL) を生成し、パートナーに提供する。",,"4","Amazon S3の署名付きURLを使用すると、AWS認証情報を持たないユーザーに対して、特定のオブジェクトを特定の期間内だけアップロード（PUT）またはダウンロード（GET）する一時的な権限をプログラムで安全に付与できます。",1
"企業はオンプレミスのデータセンターが災害に遭った場合に備えて、AWSをディザスタリカバリ(DR)サイトとして使用する計画があります。重要なアプリケーションのデータ（Amazon EBSやRDS）を定期的にAWSにバックアップし、コンプライアンス要件に合わせた保持ポリシーを一元管理したいと考えています。どのサービスを使用すべきでしょうか。","AWS DataSync","AWS Storage Gateway","AWS Backup","Amazon S3 Glacier",,"3","AWS Backupは、AWSサービス全体（EBS、RDS、DynamoDB、EFSなど）およびオンプレミスのバックアップを一元管理し、ポリシーベースでスケジュールや保持期間を自動化するフルマネージドサービスです。",2
